test_id,customer,branch,contacted_person,type,service_date,special_instruction,model_no,idu_serial,odu_serial,service_description,spare_part,customer_remark,add_technician,expected_outcome
SC-DDT-001,Saffron Air Systems Pvt Ltd,Andheri Service Hub,Rohan Mehta,Preventive maintenance,2030-04-10,Quarterly preventive visit for the Mumbai cassette unit,DAIKIN-FTKM50,IDU-SAF-001,ODU-SAF-001,Preventive maintenance visit with filter cleaning and drain check,Filter Kit,Customer prefers a morning slot,no,CREATED
SC-DDT-002,Delta AMC Care,Cochin Branch,Amit Roy,Breakdown,2030-04-12,Indoor unit not cooling and requires diagnosis,VOLTAS-VS18,IDU-DEL-002,ODU-DEL-002,Breakdown visit for low cooling complaint in the office cabin,Capacitor,Please call before arrival,no,CREATED
SC-DDT-003,Orbit Climate Works,Chennai Branch,Priya Nair,Installation,2030-04-15,New split AC installation for the conference room,LG-INV24,IDU-ORB-003,ODU-ORB-003,Installation support for new conference room equipment,Copper Pipe,Customer wants post-installation demo,no,CREATED
SC-DDT-004,Saffron Air Systems Pvt Ltd,Andheri Service Hub,Rohan Mehta,Breakdown,,Follow-up visit for water leakage complaint,DAIKIN-FTKM50,IDU-SAF-004,ODU-SAF-004,Investigate indoor water leakage during peak load,Drain Pipe,Customer reported issue after the last service,no,CREATED
SC-DDT-005,Delta AMC Care,Cochin Branch,Amit Roy,Preventive maintenance,2030-04-20,Planned preventive check for AMC unit bank,HITACHI-KAZE,IDU-DEL-005,ODU-DEL-005,Full preventive maintenance with electrical inspection,PCB Fuse,Customer asked to verify thermostat reading,no,CREATED
SC-DDT-006,Orbit Climate Works,Chennai Branch,Priya Nair,Breakdown,2030-04-22,Outdoor unit noise complaint,BLUESTAR-BS15,IDU-ORB-006,ODU-ORB-006,Inspect abnormal outdoor unit noise and vibration,Condenser Fan,Site security to be informed before entry,no,CREATED
SC-DDT-007,,Andheri Service Hub,Rohan Mehta,Breakdown,2030-04-25,Missing customer should block the save,,,,Customer and branch are intentionally incomplete for validation,,,no,REJECTED
SC-DDT-008,Saffron Air Systems Pvt Ltd,,Rohan Mehta,Breakdown,2030-04-26,Missing branch should block the save,,,,Branch is intentionally blank for validation,,,no,REJECTED
SC-DDT-009,Saffron Air Systems Pvt Ltd,Andheri Service Hub,,Breakdown,2030-04-27,Missing contacted person should block the save,,,,Contact is intentionally blank for validation,,,no,REJECTED
SC-DDT-010,Saffron Air Systems Pvt Ltd,Andheri Service Hub,Rohan Mehta,,2030-04-28,Missing service type should block the save,,,,Type is intentionally blank for validation,,,no,REJECTED
SC-DDT-011,Non Existing Customer,Phantom Branch,Ghost Contact,Breakdown,2030-04-29,Non-existent linked records should be rejected,,,,This row uses invalid customer references on purpose,,,no,REJECTED
SC-DDT-012,Delta AMC Care,Cochin Branch,Amit Roy,Installation,2030-04-30,Installation revisit for newly shifted unit,OGENERAL-ASGA18,IDU-DEL-012,ODU-DEL-012,Revisit for alignment and commissioning after relocation,Mounting Bracket,Customer requested weekend completion,no,CREATED
